5.909	0.270	0.137	2.002	3.656	0.026	0.495	0.265	2.186	0.367	0.483	0.946	1.226	0.720	3.818	0.246	0.000	0.667	0.579	0.787	0.735	0.000	1.322	0.000	1.035	2.674	0.010	0.012	0.020	0.364	0.002	0.009	0.507	0.246	0.568	12.144
0.062	1.339	1.349	4.876	0.212	0.224	4.835	1.264	1.227	0.256	4.438	1.024	2.402	3.032	0.062	8.775	0.000	5.473	1.127	3.828	0.027	0.014	2.479	0.000	0.124	1.687	0.008	0.009	0.012	3.882	0.001	0.000	0.002	0.000	0.305	6.755
1.268	0.002	0.010	0.288	0.793	0.000	0.001	0.025	0.222	0.059	0.021	0.012	0.279	0.021	1.385	0.074	0.000	0.133	1.831	0.064	0.550	0.001	0.228	0.001	0.667	0.362	0.106	0.020	0.266	0.039	0.002	0.020	0.087	0.000	0.007	16.035
0.000	0.000	0.001	0.000	0.001	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.033
4.318	1.408	0.078	1.209	3.726	0.141	0.907	0.126	0.209	0.257	1.847	0.013	0.153	0.015	2.776	6.237	0.000	0.080	0.053	3.098	0.997	0.001	0.657	0.000	0.294	0.463	0.004	0.002	0.008	0.006	0.001	1.723	0.222	0.018	0.005	4.074
3.288	0.153	0.004	0.251	3.437	0.003	0.008	0.021	1.592	0.499	0.792	0.195	0.087	0.307	3.325	0.270	0.000	0.429	0.180	0.037	1.524	0.000	1.760	0.000	2.143	0.104	0.128	0.020	0.192	0.056	0.355	0.099	0.002	0.000	0.122	13.363
2.569	0.008	0.100	0.085	1.172	0.013	0.003	0.040	0.758	0.023	1.881	0.093	0.061	0.816	2.143	0.157	0.000	0.507	7.682	0.062	0.628	0.000	0.218	0.002	0.976	0.450	0.321	0.008	0.642	0.100	0.001	0.135	0.005	0.001	0.003	8.410
0.350	0.512	0.351	0.732	0.158	0.069	0.340	0.278	0.682	0.766	1.540	1.258	1.443	0.423	0.045	0.595	0.037	1.372	0.646	1.242	0.008	0.001	0.237	0.000	0.020	1.245	0.002	0.003	0.004	0.979	0.000	0.000	0.000	0.000	0.061	2.571
0.013	0.000	0.000	0.002	0.010	0.000	0.000	0.000	0.010	0.001	0.001	0.003	0.000	0.001	0.010	0.000	0.000	0.002	0.000	0.001	0.000	0.000	0.000	0.006	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.077
2.926	0.018	0.007	0.541	1.467	0.000	0.101	0.377	1.099	0.105	0.207	0.105	0.040	0.046	6.408	0.001	0.000	0.636	0.583	1.220	0.387	0.000	0.010	0.000	1.319	1.100	0.035	0.031	0.031	0.027	0.002	2.429	0.578	0.063	0.008	13.396
0.002	0.000	0.000	0.000	0.003	0.000	0.000	0.000	0.007	0.000	0.000	0.000	0.000	0.003	0.009	0.000	0.000	0.007	0.000	0.000	0.001	0.000	0.000	0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.020
0.031	3.293	1.386	2.053	0.021	0.038	0.000	0.253	0.002	0.000	0.002	0.020	1.923	3.419	0.006	0.342	0.000	2.126	0.588	3.075	0.002	0.001	3.882	0.000	0.001	7.590	0.000	0.000	0.000	2.562	0.000	0.000	0.000	0.001	1.132	0.046
1.849	0.010	8.850	5.953	1.514	0.000	0.024	0.013	0.457	0.114	0.006	0.005	0.024	0.019	1.831	0.009	0.000	9.370	6.864	0.025	0.246	0.000	0.406	0.000	0.300	0.028	0.137	0.008	0.116	0.047	0.002	0.049	0.003	0.000	0.003	10.552
0.000	0.161	0.220	0.228	0.006	0.002	0.124	0.011	1.247	1.981	0.457	0.327	0.093	1.463	0.000	0.017	0.000	0.342	0.331	0.354	0.000	0.001	0.323	0.000	0.000	1.052	0.000	0.000	0.000	0.410	0.000	0.000	0.000	0.000	0.109	0.003
